"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","35","M","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01125527999994 40.63760442000006)","3","Brooklyn","307","43","49","17","10","59 St and 7 Ave","GoLocker-You Fresh Mart","3","S","5822 7th Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.63760442","-74.01125528","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94373545999997 40.647538360000055)","3","Brooklyn","317","45","42","21","9","Brooklyn Av and Tilden Av","Ideal Food Basket- Brooklyn Ave","43","S","1086 Brooklyn Ave, Brooklyn, NY 11203","Outdoor","GoLocker","40.64753836","-73.94373546","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97058867999993 40.58119965000003)","3","Brooklyn","313","48","46","23","8","W 5 St and Mitchell Wesson Pl","GoLocker-2775 W 5th Street","32","S","2775 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58119965","-73.97058868","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.96192943999995 40.67831339000003)","3","Brooklyn","308","35","57","25","9","Grand Ave and Bergen St","GoLocker-GB Collision Center","11","M","569 Grand Ave, Brooklyn NY 11238","Outdoor","GoLocker","40.67831339","-73.96192944","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92314804999995 40.701279670000076)","3","Brooklyn","304","37","53","18","7","Knickerbocker Ave and Hart St","GoLocker-Laundry Station","22","S","334 Knickerbocker Ave, Brooklyn NY 11237","Indoor","GoLocker","40.70127967","-73.92314805","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02809999999994 40.63166000000007)","3","Brooklyn","310","47","46","26","11","3 Ave and Bay Ridge Pkwy","GoLocker- KeyFood- Bay Ridge","26","S","7414 3rd Ave Brooklyn NY 11209","Outdoor","GoLocker","40.63166","-74.0281","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02427657999993 40.62009646000007)","3","Brooklyn","310","47","46","26","11","Fort Hamilton Pkwy and 86 St","GoLocker-Sophie's Furniture","29","S","558 86 St, Brooklyn NY 11209","Outdoor","GoLocker","40.62009646","-74.02427658","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95003946999998 40.72401312000005)","3","Brooklyn","301","33","50","59","7","Nassau Ave and Leonard St","GoLocker- Murawski Pharmacy","16","M","94-98 Nassau Ave, Brooklyn, NY 11222","Indoor","GoLocker","40.72401312","-73.95003947","Greenpoint","X","AREA OF MINIMAL FLOOD HAZARD","4","Active"
"POINT (-73.97827769999998 40.63101040000004)","3","Brooklyn","312","44","48","22","9","18 Ave and Seton Pl","GoLocker-Atlas Express","31","S","4219 18 Ave, Brooklyn NY 11218","Indoor","GoLocker","40.6310104","-73.9782777","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96555459999996 40.606740700000046)","3","Brooklyn","315","44","45","22","9","Kings Hwy and E 10 St","GoLocker-Kings Flaming Grill","11","M","924 Kings Hwy, Brooklyn NY 11223","Outdoor","GoLocker","40.6067407","-73.9655546","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.92052076999994 40.74186858000007)","4","Queens","402","26","37","12","7","Greenpoint Av and 47th Av","GoLocker - Green Valley Sunnyside","55","M","44-01 Greenpoint Ave, Long Island City, NY 11104","Outdoor","GoLocker","40.74186858","-73.92052077","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94373545999997 40.647538360000055)","3","Brooklyn","317","45","42","21","9","Brooklyn Av and Tilden Av","Ideal Food Basket- Brooklyn Ave","13","S","1086 Brooklyn Ave, Brooklyn, NY 11203","Outdoor","GoLocker","40.64753836","-73.94373546","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95914889999995 40.71242358000006)","3","Brooklyn","301","34","53","59","7","Roebling St and S 2 St","GoLocker-B&G Hardware","22","S","210 Roebling St, Brooklyn NY 11211","Outdoor","GoLocker","40.71242358","-73.9591489","Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01109999999994 40.629200000000026)","3","Brooklyn","310","38","49","17","11","Fort Hamilton Pkwy and 68 St","GoLocker- 6723 Convenience Store","13","S","6723 Fort Hamilton Parkway Brooklyn NY 11219","Indoor","GoLocker","40.6292","-74.0111","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02722269999998 40.63609300000007)","3","Brooklyn","310","47","64","26","11","Bay Ridge Ave and 3 Ave","GoLocker- Superfresh- Bay Ridge","6","M","242 Bay Ridge Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.636093","-74.0272227","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.89212999999995 40.75991000000005)","4","Queens","403","25","34","13","14","31 Ave and 77 St","Farm Country Supermarket","29","S","75-55 31st Ave,East Elmhurst, NY 11370","Indoor","GoLocker","40.75991","-73.89213","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-74.00179120999996 40.64257003000006)","3","Brooklyn","312","38","49","17","10","8 Ave and 47 St","GoLocker-BSK Grocery","21","M","4701 8 Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.64257003","-74.00179121","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94364299999995 40.83671675000005)","1","Manhattan","112","7","71","31","13","W 161st St and Broadway","GoLocker W 161 Street","20","S","600 W 161st St, New York, NY 10032","Outdoor","GoLocker","40.83671675","-73.943643","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91223299999996 40.76820780000003)","4","Queens","401","22","36","12","14","Steinway St and Astoria Blvd S","GoLocker- RMA Super Laundromat","16","M","24-46 Steinway Street, Astoria, NY 11103","Indoor","GoLocker","40.7682078","-73.912233","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
